# Shadow tomography log started 2019-12-31 04:46:40
# Dimension = 2
# True state = (-0.30738525  0.10128641 -0.25510160  0.91114134)
# N        C              re0         im0         re1         im1
  26401347 46968   0.90892819  0.00381009 -0.16998681 -0.38070922
  26555053 153706 -0.41241498 -0.06122837 -0.24834515 -0.87435099
  26636110 81057   0.96378076  0.08180648  0.13984649  0.21184262
  26759907 123797  0.20494431  0.14977372 -0.03582820 -0.96658264
  26957681 197774 -0.22003767  0.43439446 -0.60960922  0.62550897
  26967724 10043   0.61811354  0.61710657 -0.22596268 -0.43134209
  27167983 200259  0.44299826 -0.13062055  0.47442223 -0.74940934
  27197805 29822  -0.06524442  0.88455298 -0.27805846 -0.36877186
  27411157 213352 -0.37321310 -0.00573633 -0.91588671  0.14775184
  27431695 20538  -0.46260446 -0.80416179  0.23969975  0.28612053
  27543133 111438  0.70246012  0.18860829 -0.02474637  0.68583111
  27618159 75026   0.33310195 -0.60001649 -0.69890359 -0.20138789
  27745763 127604 -0.23914796  0.71031985 -0.66045554  0.04530395
  27815584 69821   0.37787065 -0.54356944 -0.73236400 -0.15933930
  27909346 93762   0.00840260 -0.44350174  0.72660493  0.52467216
  28028183 118837 -0.78470693  0.43297879 -0.04527738  0.44126450
  28160722 132539 -0.68625395  0.23541207 -0.47326888 -0.49965312
  28230718 69996   0.58737405  0.35864801  0.08710298 -0.72026134
  28367953 137235 -0.10667207  0.65981245 -0.73419241  0.11929000
  28430168 62215  -0.50061997 -0.55013476 -0.32694824  0.58295475
  28467262 37094  -0.22144384  0.91844655  0.29998532 -0.13201277
  28658717 191455  0.25404007  0.20708020 -0.03094255  0.94425844
  28759003 100286 -0.43834989  0.46390778  0.56223542  0.52586146
  28845616 86613  -0.43609526 -0.63439724  0.52411406 -0.36423277
  29035652 190036 -0.47309763 -0.25460437 -0.81601995  0.21322919
  29071335 35683   0.79837520  0.27194170 -0.49034231  0.21956588
  29213077 141742 -0.00092810  0.84000318  0.39825366  0.36849400
  29286741 73664  -0.49438238  0.22356178  0.26488643 -0.79714577
  29344378 57637  -0.64419331 -0.02004961  0.55478196  0.52614634
  29514982 170604 -0.55075049  0.53036486 -0.64402154  0.02496522
  29577844 62862   0.62076566 -0.33882343 -0.64893543 -0.28059132
  29725598 147754  0.70677912 -0.01766242  0.44910092  0.54631463
  29792938 67340   0.65085668  0.68542408  0.23813580 -0.22331760
  29929136 136198 -0.02244040 -0.32569285  0.94336062 -0.05908749
  30076763 147627 -0.32538851 -0.00994915 -0.24549520 -0.91310209
  30130873 54110   0.49713135 -0.80429084 -0.31456505 -0.08381824
  30148783 17910  -0.18653092  0.75513086 -0.04501496 -0.62686303
  30357559 208776 -0.62841766  0.00865133 -0.73645528  0.25029984
  30397963 40404   0.48583551  0.52225383 -0.10058708 -0.69361159
  30607312 209349  0.38811033  0.58359675 -0.01312569  0.71317103
  30664112 56800  -0.26296357 -0.95154104  0.11692003 -0.10839517
  30806100 141988 -0.14272268 -0.07106366  0.01577232  0.98708228
  30842283 36183  -0.84470650  0.11114393  0.37352331  0.36687640
  31037688 195405  0.43752468 -0.28755888  0.80716882  0.27269128
  31090282 52594  -0.68437278 -0.56068736  0.41331955 -0.21547747
  31255017 164735 -0.01189601 -0.46596360 -0.82216158 -0.32678243
  31428812 173795  0.40622220 -0.66101789  0.48121099 -0.40801331
  31467533 38721  -0.29677985 -0.55674105  0.13375609  0.76424501
  31535334 67801   0.00202501 -0.64673623  0.61649004  0.44907480
  31692591 157257 -0.54574104 -0.53281785 -0.63731199  0.11002401
  31765030 72439  -0.02782021 -0.36702743  0.06804797  0.92730059
  31891714 126684 -0.91939962  0.13864068 -0.36409624  0.05400951
  32010006 118292  0.93275639 -0.01560182  0.32384446 -0.15762889
  32092191 82185  -0.05533602 -0.35589328  0.51941738  0.77490869
  32239060 146869  0.09214940  0.02689257 -0.08736254  0.99154075
  32290629 51569  -0.54071332  0.83571190  0.08920957  0.03544539
  32427109 136480 -0.72897730  0.27232339 -0.48869303 -0.39447584
  32494008 66899   0.00439742  0.62802287  0.66698796 -0.40086781
  32602430 108422  0.25199619  0.38089374 -0.87439215  0.16387876
  32712503 110073  0.75237094  0.47471659  0.37467644 -0.26115070
  32749979 37476  -0.00747104  0.97606061 -0.06485758 -0.20746895
  32950088 200109  0.21093375  0.05250547  0.97391998 -0.06503849
  33170753 220665  0.02806094 -0.33503574 -0.30857502 -0.88980059
  33203255 32502  -0.32169783 -0.88514075  0.23307297  0.24230839
  33237674 34419   0.18045725 -0.95922133 -0.16355072  0.14346002
  33406898 169224 -0.20822412  0.06302642 -0.90968895 -0.35374625
  33432132 25234  -0.61191445 -0.41826129  0.32322539  0.58833966
  33613381 181249  0.27486425 -0.61242783  0.57629595 -0.46611669
  33839946 226565  0.58503512  0.02729178  0.80635181 -0.08237615
  33848212 8266    0.55690234 -0.58893875 -0.33504370  0.48037137
  33972014 123802 -0.75677961  0.41225046 -0.48169029 -0.15908692
  34042013 69999   0.33447638 -0.38139184 -0.86130989  0.02847969
  34139471 97458  -0.46883548 -0.79156008  0.20547392 -0.33377598
  34255901 116430  0.18204143  0.34711216  0.52214423 -0.75745592
  34312780 56879   0.62689093 -0.06009979 -0.57768719 -0.51930076
  34463049 150269 -0.28559614 -0.72237844  0.27466631 -0.56671214
  34504382 41333   0.88070841  0.12744473 -0.20148199 -0.40928664
  34675878 171496 -0.22565653  0.39647153 -0.88676470  0.07441660
  34776060 100182 -0.43090219  0.84737758 -0.22260809  0.21614851
  34875363 99303  -0.19481933  0.24149527  0.80428243 -0.50680888
  34963220 87857   0.59225271  0.63513145 -0.30159685  0.39355318
  35085060 121840  0.43967870 -0.22918859 -0.52344811 -0.69293384
  35100674 15614   0.13451579  0.89539419 -0.26439438 -0.33206981
  35308972 208298  0.11378010  0.40893623  0.64615618  0.63427710
  35360982 52010   0.54201582  0.83397728 -0.08893305 -0.05283619
  35523012 162030  0.07792674  0.06803068  0.96138428  0.25502844
  35736219 213207  0.33690169  0.17853687  0.74784327  0.54346323
  35747515 11296   0.78049617 -0.49542666 -0.34744866  0.15702735
  35797822 50307  -0.43427703  0.49413758  0.74587609 -0.10440491
  35954363 156541 -0.75227719 -0.03620156 -0.47737877 -0.45263449
  36067032 112669 -0.33176307  0.29451322  0.86589094  0.23114520
  36183158 116126  0.81157315  0.38018975  0.06447178  0.43891703
  36284658 101500  0.25439608 -0.20284595 -0.10131835  0.94014401
  36384288 99630   0.74652241 -0.58037957  0.03883739 -0.32304102
  36414317 30029  -0.71239857  0.26962379  0.40828934 -0.50308160
  36615351 201034  0.21727095  0.61039710  0.58180211  0.49164522
  36806440 191089  0.64470481  0.07421928  0.64410029 -0.40494694
  36846935 40495   0.59375297 -0.47571484 -0.14127494  0.63339891
  37056622 209687  0.17053559 -0.67012266  0.46461904 -0.55315673
  37082298 25676   0.52973785 -0.49115277 -0.66096638  0.20315072
  37124220 41922   0.07051981  0.59542316  0.17933081 -0.77996069
  37317705 193485 -0.78308071  0.16517511 -0.59404827 -0.08129227
  37547415 229710 -0.00384686  0.59776361 -0.42574305  0.67926925
  37570076 22661   0.70897790 -0.37418472 -0.59640222 -0.04050345
  37658126 88050  -0.14976996  0.68786348  0.70642304  0.07334367
  37770582 112456 -0.71021717 -0.00209198 -0.07587311 -0.69987890
  37786908 16326   0.84452553 -0.33534271 -0.27824549  0.31128981
  38000295 213387  0.32435219 -0.26290217  0.37569924 -0.82736219
  38150286 149991 -0.07412518 -0.03413022  0.81505000  0.57361493
  38234108 83822   0.87781595  0.47199549  0.06370463  0.05100132
  38286790 52682  -0.29038120  0.93689018  0.19465640  0.00494307
  38435596 148806  0.19260878 -0.02859034  0.40221595  0.89459867
  38600518 164922  0.66596123 -0.56804791  0.46390420 -0.13641887
  38677743 77225  -0.47622154  0.08384661  0.84898077  0.21310663
  38881539 203796 -0.37349299 -0.42605025 -0.76991248 -0.29363063
  38908457 26918   0.82395227  0.00931873 -0.50376067  0.25930873
  38986611 78154  -0.10215810  0.34946543 -0.05135130 -0.92994660
  39102900 116289  0.91791395 -0.15770738  0.31780913 -0.17765056
  39310800 207900 -0.37881305 -0.48009720  0.00825823 -0.79116317
  39353596 42796   0.44249032  0.65590371  0.05189652 -0.60934341
  39476483 122887 -0.76558460 -0.47051562 -0.42920749  0.09097370
  39561306 84823   0.38279915 -0.21438305 -0.26584775  0.85838785
  39708298 146992 -0.71333758  0.51416455 -0.47412453  0.04461223
  39787918 79620  -0.45854961  0.12851680  0.85034267  0.22390407
  39922640 134722 -0.20933476  0.28758786  0.91465889  0.19201900
  40008459 85819  -0.25258683  0.89981780 -0.35178686  0.05266715
  40098332 89873   0.14979935 -0.77748790  0.59903822  0.11927249
  40205689 107357 -0.59566010  0.13513607  0.17039036  0.77323632
  40210568 4879   -0.75603238  0.47921100  0.39765617 -0.20159718
  40413311 202743 -0.07012387 -0.44028910 -0.05564571 -0.89338217
  40588080 174769 -0.60190698  0.39334508 -0.14077231  0.68056652
  40636612 48532  -0.67615407  0.16063406  0.37555702 -0.61316335
  40816104 179492 -0.10609380  0.23010521  0.40718432  0.87749452
  40863525 47421   0.30428229 -0.91826357  0.13168439  0.21647984
  41082063 218538 -0.31594938  0.32003503 -0.71213993  0.53908282
  41087034 4971    0.07243613 -0.89022838 -0.10035762  0.43837744
  41267836 180802 -0.26288765  0.02991445 -0.52595278  0.80831237
  41310108 42272  -0.62318411  0.73595977 -0.04685457 -0.26040245
  41450329 140221 -0.36484896  0.13953171  0.22438420  0.89278657
  41514464 64135   0.02611088  0.92018170 -0.38901506 -0.03537146
  41654233 139769  0.36871533  0.31330776  0.65793028 -0.57707451
  41722436 68203   0.52401190  0.70092708 -0.42565422  0.23006790
  41771171 48735   0.62680811  0.77626594 -0.06713991 -0.00387542
  41932575 161404  0.03308757  0.05854912  0.97312901  0.22022067
  41978272 45697   0.83629817  0.30147438 -0.07798960 -0.45126066
  42138950 160678  0.44177854  0.12062457  0.22043269  0.86121476
  42181902 42952   0.74866496  0.44897976  0.04155784 -0.48599475
  42335137 153235  0.46739412 -0.13950154  0.59181922  0.64174144
  42463222 128085 -0.51704548  0.48526647 -0.60495562 -0.36222801
  42532685 69463   0.66534883 -0.23343384 -0.40912401 -0.57916934
  42751229 218544  0.35540103  0.11174708  0.66775073  0.64444679
  42777497 26268   0.90813329 -0.19104090 -0.36044585 -0.09421300
  42827107 49610  -0.42154548  0.62965641  0.64971724  0.06082532
  42978077 150970  0.24270629  0.60574406 -0.48414009  0.58290322
  43065528 87451   0.31023360  0.16968300 -0.81907874 -0.45174418
  43176643 111115  0.87091733 -0.34127086  0.32968318 -0.12785229
  43373700 197057 -0.28721490 -0.48318167 -0.75797305 -0.33093795
  43407088 33388   0.17803550 -0.80767966  0.22192515  0.51643601
  43482512 75424   0.43829701  0.41028389  0.05424368 -0.79788500
  43623925 141413 -0.78599819 -0.14754561 -0.28728207 -0.52716805
  43704717 80792   0.31809930 -0.72321549  0.52435299  0.31753131
  43822844 118127 -0.33347332  0.51436148  0.60156722  0.51219594
