# Shadow tomography log started 2020-01-14 05:35:58
# Dimension = 16
# True state = (-0.01368351  0.08298799  0.31013530  0.05415421 -0.04716125 -0.36927067 -0.27572506 -0.08145328  0.19790431 -0.02259635  0.35722066  0.00981079  0.13155062  0.07559725  0.21713843  0.06203123  0.25206411 -0.01016464 -0.00354999  0.12071034 -0.06863492  0.00802327  0.19277117 -0.21116087  0.02150632  0.21004151 -0.05133267  0.08808471  0.23186726  0.28468726 -0.15257532  0.23099305)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3         re4         im4         re5         im5         re6         im6         re7         im7         re8         im8         re9         im9        re10        im10        re11        im11        re12        im12        re13        im13        re14        im14        re15        im15
  473098   76696  -0.09850270  0.11603655 -0.36860779  0.28150264 -0.12631811  0.08799589 -0.34109395  0.07824196  0.25705702 -0.00732876 -0.30844425  0.05537450  0.06295794  0.31846457  0.04905219  0.09998778  0.21209918 -0.10419309 -0.02466579  0.12259433 -0.07449730 -0.07020491 -0.15308504 -0.02137323 -0.21690589  0.23404492  0.03301472 -0.23919515  0.00104439 -0.13194168  0.20826018 -0.08164349
  479110   6012   -0.03300394 -0.06917379 -0.01844417 -0.07328053 -0.15721074  0.04051726 -0.15941307 -0.43011925 -0.06652695  0.09565591  0.00524851  0.13675609  0.30321045 -0.01450816 -0.09075840 -0.27403534  0.05656392 -0.07113630  0.26598006 -0.11385157  0.23171349 -0.02732708  0.08034131 -0.03494455  0.34333637  0.09953194  0.22604849 -0.17922018  0.02101384  0.26882173  0.24026981 -0.21985591
  526005   46895  -0.06709929 -0.28177966 -0.02672484  0.36219766  0.17114294 -0.29312682  0.05693910 -0.05529326 -0.02206057  0.31649625 -0.16019032 -0.14054227  0.17135249 -0.21017711 -0.12436378 -0.05204470  0.18273259  0.11138293  0.05338278 -0.17772268 -0.06502598  0.09663698 -0.15852884  0.24627742  0.08688159 -0.04766525 -0.01207162  0.24655845  0.06376709 -0.37134754  0.13987036 -0.11416469
  542306   16301  -0.12155886 -0.05222515  0.06416783  0.23590693  0.03213151  0.03313708  0.28798602 -0.04537232  0.02291975 -0.10779621 -0.04942213 -0.16506302  0.11923192  0.20347866 -0.10145661  0.17925350  0.38131698  0.02354677  0.00702209  0.00096081  0.42327063 -0.21440773  0.22819357 -0.20208862  0.05151040 -0.24115245 -0.38579211 -0.07109428 -0.06213487  0.08526680  0.02623244  0.07181436
  552219   9913   -0.34228345 -0.02706542 -0.12739187  0.12045333 -0.13269849  0.32654801  0.05300817 -0.03674139 -0.20123741 -0.00426246 -0.00416953 -0.07562511 -0.10472316 -0.12947356  0.14327024 -0.08332857 -0.23842277  0.10022391 -0.07465503  0.15503268  0.16405391 -0.04304012  0.34846131  0.22195305 -0.23096577  0.14034190 -0.12447313  0.23237481  0.23264330 -0.01064133  0.10727073 -0.34247456
  562885   10666  -0.09578680  0.03252181 -0.09775401 -0.06694883  0.11322153 -0.13582504  0.16978275  0.10930177  0.01267896 -0.09390421  0.01885404  0.01755397  0.03455344 -0.34338137 -0.05426932  0.46667425  0.03051599 -0.07265829  0.26826256  0.46436519  0.03417316 -0.16437760  0.04888755  0.07693444  0.16858229  0.02963248  0.30500645 -0.16430830  0.24387880 -0.05353864  0.10265668  0.04121470
  572931   10046   0.27688145  0.10766004  0.04633719 -0.10915065 -0.29020754 -0.11560746  0.17731923  0.17548769  0.27562819  0.04156836 -0.13257774 -0.07612655  0.20626460 -0.15837404  0.28380553 -0.27325822  0.10987559  0.04111934 -0.06333406 -0.12457515  0.28957673 -0.16533714  0.02048699  0.05549714 -0.11008903  0.11825834  0.08261450 -0.06707653  0.40058877 -0.12245965 -0.21891282  0.07171841
  574435   1504    0.17880833  0.14998470 -0.17274349 -0.04432971  0.28953424 -0.24707468  0.01706925  0.03088623  0.01580571 -0.06362181  0.19898058 -0.31228132 -0.14943148 -0.27854327  0.06335473 -0.25354785  0.28849432 -0.16021691 -0.19916324  0.08930314 -0.05064116 -0.09810625  0.08332285  0.02277634 -0.08963484  0.17170699 -0.07445187 -0.11722719 -0.24405384  0.20775723  0.14704475 -0.31723452
  589970   15535  -0.10169625 -0.13188463  0.22552557 -0.23104991 -0.15098642  0.35615459  0.09175677  0.10041926 -0.10992301  0.26168392 -0.12522498 -0.21269986 -0.06939441 -0.18866398 -0.05687888  0.07142914  0.21750587  0.06342223  0.23590108  0.08284238  0.05583683  0.06505629 -0.43287065 -0.01148902 -0.11936326  0.22949736 -0.14497067 -0.17589949 -0.19064801  0.06062205 -0.15202463 -0.13759251
  600497   10527  -0.04255896 -0.09043962  0.09225993  0.19310126  0.21322672  0.22388463  0.33823394 -0.06396177  0.06283928 -0.21316653 -0.26727549 -0.25808266  0.04714004  0.07150354  0.05737354  0.01760067 -0.19030188  0.07813959 -0.19744784 -0.22889306 -0.16566313 -0.07455897 -0.13227515  0.03837035 -0.02936441 -0.14618583  0.42640675 -0.26209210  0.02900059  0.20573764 -0.01843134 -0.17271722
  601625   1128   -0.03305339  0.09055630 -0.33640892 -0.08404507 -0.07158121 -0.10985134  0.05117859 -0.03607974 -0.01302323 -0.14034074 -0.23889778 -0.08139342  0.34217221 -0.30511515 -0.15943488  0.22877708 -0.18797719  0.14099104  0.09129084 -0.30253175 -0.08053665  0.13675297  0.23669065 -0.20101265 -0.14353471  0.25436045 -0.10543587  0.03273779 -0.25776427  0.06533081 -0.16396806  0.07802049
  628641   27016   0.24290888  0.05444705 -0.15170069 -0.05313866  0.08173906 -0.03218061 -0.09351930 -0.05969666  0.13651630 -0.23960550 -0.27554712  0.16312559 -0.05739275 -0.08279273 -0.00182628 -0.10497400 -0.15299306  0.31081836  0.18762595  0.24524326  0.30435543 -0.09220750 -0.25754781  0.07290979 -0.06428510 -0.35734110 -0.03367648  0.20395594 -0.25659285  0.00168779 -0.04881242 -0.24796340
