# Shadow tomography log started 2020-01-30 02:46:15
# Dimension = 32
# True state = ( 0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000  0.17677670  0.00000000)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3         re4         im4         re5         im5         re6         im6         re7         im7         re8         im8         re9         im9        re10        im10        re11        im11        re12        im12        re13        im13        re14        im14        re15        im15        re16        im16        re17        im17        re18        im18        re19        im19        re20        im20        re21        im21        re22        im22        re23        im23        re24        im24        re25        im25        re26        im26        re27        im27        re28        im28        re29        im29        re30        im30        re31        im31
  1891383  837     0.14385926 -0.09849636  0.18354741 -0.11582891 -0.10195925 -0.15922013  0.02812745 -0.15098456  0.11610016 -0.01472967 -0.07694276  0.03074545 -0.15068742 -0.02749327 -0.12801487 -0.06121172 -0.22203455  0.10488412  0.01998718 -0.01242212  0.28215433  0.14915092  0.11755502  0.13087162 -0.16161231 -0.00361082  0.02127418  0.01922556  0.14794004  0.05300946  0.11874357 -0.26022118  0.08599128 -0.02004947  0.02327951 -0.02468008  0.00195784  0.07464541 -0.05499736  0.29821602 -0.02939591 -0.04132957  0.13578489  0.07109514  0.14468816  0.13566979 -0.09943050 -0.04100175  0.26619835  0.10567342 -0.16795178 -0.17643630 -0.06226695  0.05837043  0.08877523 -0.11186593  0.01387364 -0.00225849 -0.14556506  0.02732102 -0.00986155 -0.19844369  0.24005861  0.01199191
  1894249  2866    0.02168106  0.01502334  0.14090112  0.10292395 -0.07817103  0.24692159 -0.14928236  0.05283517  0.08126859  0.13247126  0.03678783  0.12956013  0.06947611  0.09962921 -0.04128248 -0.08655278 -0.03418594  0.01535515  0.05658226 -0.19294210  0.07367155 -0.01234582 -0.02804571 -0.01827014 -0.10025813  0.16798763 -0.26489460  0.08309401 -0.09402057  0.22627792 -0.13647133  0.04397361  0.07287775  0.09457221 -0.03258139 -0.17766359 -0.05136018 -0.23795725 -0.21416963 -0.01279096 -0.08112913 -0.05207372 -0.18611234 -0.06501053  0.02319710  0.07383573  0.25712249  0.05859616  0.14940733 -0.12163030 -0.22511531 -0.08192759 -0.03833505 -0.27184513  0.06803679  0.02340235 -0.08513251 -0.03688719 -0.01439044 -0.24170637  0.01521703 -0.10988428 -0.11489313 -0.14939216
  1896421  2172   -0.01245035  0.10882939 -0.04914445  0.02482053 -0.04097978 -0.00463207 -0.08018198 -0.11438767  0.09969679 -0.14746642  0.04979213  0.00654505  0.14913805 -0.10979684  0.30037149 -0.07259422  0.03358664  0.18519357 -0.07106285 -0.36742271 -0.05248899 -0.05150666 -0.20253469  0.23389204  0.01382396 -0.16747969  0.06584275 -0.02634605  0.04672991  0.05220812 -0.01745794  0.06585227 -0.03688220 -0.01531604  0.03404871  0.04881716  0.19528180 -0.20824361 -0.03141479  0.25133729 -0.01087372  0.12219408  0.00586639  0.02650242  0.03205145 -0.07454679  0.04454780  0.07988011  0.08822378  0.25278563 -0.12737481  0.18387079  0.13725718  0.19119660 -0.12272357 -0.00955268 -0.05331886  0.21148992 -0.01172982 -0.00329785  0.21383613  0.02651007 -0.03349341 -0.10612544
  1900897  4476    0.06590356  0.00762601 -0.08303185  0.23290407 -0.05004527 -0.04745132  0.21538080 -0.05140132 -0.23495844 -0.10415380  0.01905988  0.27657264  0.00433294  0.06012719 -0.13225518 -0.04755112  0.12680248  0.15350683  0.17062390  0.07641172  0.12924677 -0.19117315 -0.11718597  0.00270885 -0.04170236 -0.06965712  0.20227341  0.13907612  0.10353194  0.23509343 -0.04829996  0.06999340  0.12219886  0.23540266  0.06921123  0.19173554  0.06253168  0.10824117 -0.00720381  0.16532937  0.09933639 -0.14657160 -0.10786133  0.01654041  0.06048060 -0.06126526  0.05987749  0.01554806 -0.08185454 -0.01396496 -0.04640684  0.01791628 -0.01922159 -0.25647823 -0.16887590  0.04703090  0.13530860  0.06100517  0.16068194  0.12818273  0.04418062 -0.14247121  0.00932654  0.17448951
  1902213  1316    0.19344562 -0.10453416  0.11310160 -0.10391974 -0.21118455  0.14260249 -0.11792027  0.04121786 -0.10572734  0.14612030 -0.05554280 -0.07642824  0.04628141 -0.10250774  0.23997219  0.23335123 -0.08637235  0.20607177  0.05643257  0.17749251 -0.05557544 -0.16490872 -0.08418622 -0.20478137  0.04944607 -0.10885724 -0.04807625  0.19786522  0.14767615 -0.01089543  0.16998605 -0.01873309 -0.23052884  0.00426533 -0.02806374 -0.14489167 -0.04874834 -0.08446221  0.07034607  0.09031541 -0.05958514 -0.08983590 -0.01010978 -0.14289360 -0.07811339  0.04941095  0.00767362 -0.16303054 -0.03129678 -0.06771779  0.02394138 -0.08795032  0.08973213  0.12994550  0.07142399  0.00394929  0.09285593  0.19702632  0.21810260 -0.14502440  0.08459785 -0.18947430 -0.02497101  0.20492357
  1906080  3867    0.05625383 -0.14085061 -0.04850000  0.01134833 -0.13693455  0.22210705 -0.11520859  0.07376431  0.00643659  0.15606738 -0.04754226  0.17652742 -0.06674213  0.12987915 -0.13409834  0.05452705 -0.07245410 -0.02317232 -0.12823996  0.03944023 -0.02611843 -0.08378118 -0.09118928  0.25100320  0.02202339 -0.13676574  0.05356808  0.05551113 -0.12806644 -0.02499718  0.21973763 -0.16637357 -0.21316791  0.08355449  0.06507181 -0.01636447  0.19406942 -0.02401368  0.09894222 -0.22629864  0.20877469  0.18520350  0.08291604  0.20542637  0.16501695 -0.04582791  0.04693312 -0.13754748 -0.06929231  0.07465874  0.00543246  0.17348744 -0.20130644 -0.18661089  0.12290518 -0.10961559 -0.25292544  0.03585675  0.00993065  0.10121574  0.10430271 -0.04535500  0.03564439 -0.01796036
  1910342  4262   -0.21164446  0.05570280 -0.04589841 -0.15926701 -0.14003460 -0.00336560  0.08162920 -0.25087765  0.16728447 -0.10559812  0.02068704 -0.12696990 -0.03636686 -0.01386329 -0.21641221 -0.04875039  0.04287496  0.18133583 -0.05543670 -0.02063197 -0.15536815  0.02924076 -0.00007128  0.10320187 -0.09348155  0.05451940 -0.10319006  0.21104214  0.04790122  0.17105563 -0.00777426 -0.18058429  0.05198827 -0.14679918 -0.05168127  0.00323869  0.22619738 -0.13368746 -0.10022350 -0.22660833 -0.16317300  0.07209802 -0.17011249 -0.06436161 -0.00041874 -0.15708334 -0.02037429  0.03931769 -0.07724824  0.01120869  0.06838172 -0.01007563  0.08836856 -0.02891633  0.26524401  0.13104761  0.10469507  0.05619036  0.05388543  0.16292094 -0.11141628 -0.02197896 -0.04358178  0.33120294
  1911946  1604    0.00402451 -0.07877197 -0.01603022 -0.16502329 -0.04030023 -0.02308196  0.22105069  0.16934585  0.07919058  0.10143410 -0.12321184  0.00165093  0.00676856  0.10873307 -0.18660708  0.10806771  0.12696366  0.04850898 -0.07230953 -0.26819376 -0.08223369 -0.03462305  0.17318060 -0.13744705  0.03551281 -0.13351928  0.11349440  0.00692017 -0.16440184 -0.09237490 -0.00500563  0.04533462  0.02943868  0.02312962  0.17912329  0.18308631  0.24945906  0.05275852 -0.13640986 -0.00165734 -0.03432363  0.08306094  0.07782047 -0.11762376 -0.28901926  0.21340091  0.29873727 -0.16777592  0.23151541 -0.10250459  0.01536678  0.08055012  0.01717227  0.02957118 -0.06713189 -0.09049412  0.13411169  0.05425988 -0.08574828 -0.10687476  0.03371258  0.00386669  0.08448158  0.12880373
  1912028  82     -0.07495424 -0.20072651 -0.12287383  0.03395342  0.09201080  0.11386085  0.15847474 -0.07691057 -0.16387298  0.11702020  0.09416396 -0.17106202 -0.08959194 -0.04081726 -0.07046985  0.11994657 -0.22469596 -0.05104208 -0.09257737 -0.12413753 -0.12838204 -0.17729482 -0.08264580  0.12834974 -0.13303081  0.20274505 -0.02659427 -0.01308135  0.09906381 -0.02659015 -0.01366857 -0.06830613 -0.25972332  0.09947674  0.13933169  0.34217615 -0.20811156 -0.11277649 -0.04819921  0.05740279 -0.01999133 -0.02031571 -0.02535997 -0.02790746 -0.03072384  0.20603807 -0.20388872  0.13554940  0.17640862 -0.05337555 -0.13769700 -0.09788251 -0.02369077 -0.06408673 -0.00400143  0.07856943 -0.04541835  0.09458920  0.01073887  0.05631398  0.04839921  0.25481448 -0.11259430  0.07498747
  1918709  6681    0.21551304 -0.24361364  0.04426436  0.06788334  0.15528319 -0.05790797  0.03067428  0.09086934  0.12902417 -0.10586005  0.04563954 -0.04326005 -0.03654536  0.17045252  0.23364956  0.05397006 -0.04127273  0.14264908  0.05181235 -0.05516040  0.17428224  0.09259189  0.09583609 -0.06962427 -0.10730694 -0.10985217 -0.10368797 -0.12935739 -0.01650805  0.02355326  0.07218892  0.02017159  0.15004021 -0.09412854  0.23945251  0.13434906 -0.14767612 -0.10966112  0.01846229 -0.10081621 -0.11701720  0.29115327 -0.14594269  0.19092954  0.04482859 -0.02581253  0.06053166  0.06634365 -0.04783324 -0.08396735  0.09631260  0.00003979  0.11547170 -0.06446119 -0.09577699  0.01923602 -0.24615673  0.12055819  0.23620003  0.03708881 -0.25116000  0.00081933  0.05783889  0.17486347
  1918848  139    -0.05694887  0.24546148  0.09136858 -0.14564212  0.16733895 -0.00049020 -0.07991783  0.03997371 -0.00736066  0.08161845  0.15392477  0.21005496  0.13868222 -0.17607988 -0.12911163 -0.10136624 -0.05797404  0.11172946  0.08604973  0.07431841 -0.29363357  0.07943297  0.00985564 -0.39813776  0.04481124  0.07523560 -0.04117982 -0.16425530 -0.04579510  0.06261188  0.20820532  0.06229052 -0.00522761 -0.05211954  0.03535254  0.08563752  0.03954729 -0.02927990  0.08361100 -0.01186119  0.12720501 -0.01230333  0.03109181  0.10536950  0.09246165  0.02076045 -0.12120669  0.03718218  0.21557820  0.06593940 -0.22077751  0.09740042  0.14068962 -0.18131657  0.07302458 -0.10585605 -0.03451381  0.21157231  0.07982160  0.09228505 -0.09917649  0.03945662  0.15315976  0.03811877
  1920254  1406    0.15109284 -0.04403370  0.20844294 -0.17318520  0.21837450 -0.16067303 -0.04531096  0.19606713  0.08603846  0.05998857 -0.07647523  0.06651064  0.16135244  0.17251845  0.10258851  0.06620492  0.16242695  0.03492626  0.00668612 -0.00124821  0.00580993 -0.07656779 -0.08581830  0.22254283  0.13169594  0.05564240  0.14753908 -0.05085615  0.16251554  0.01292190 -0.12373128  0.01996509 -0.08028356 -0.12764804  0.05914267 -0.16508501  0.07731050  0.00335418 -0.17106028 -0.02820415  0.01696871 -0.09082783  0.11044706 -0.16227536  0.01326327 -0.04107407 -0.25112390 -0.03519895  0.15769254 -0.08677351  0.02519690 -0.02299672  0.20279666 -0.30719156  0.07908379  0.16024752 -0.10276244 -0.17192620 -0.00054906  0.15913388  0.16255306  0.07815720 -0.00463491  0.12862667
  1921664  1410   -0.11650086 -0.02693159  0.01672908  0.09259225 -0.15614915  0.08276641  0.01314486  0.15499148  0.13209203 -0.03591728  0.15070954  0.14922757 -0.17060578 -0.00005596  0.02112812 -0.06021619 -0.00212468  0.09834645  0.08820995 -0.02361538  0.05198595  0.12158768  0.21314433 -0.18298142 -0.11375100  0.01591089  0.01961777 -0.17702879  0.17722009 -0.17546567 -0.00021626 -0.04735710 -0.38976578 -0.12658151  0.21471894 -0.06717845  0.00676705  0.06132724 -0.26229660  0.06689255 -0.13464139 -0.15505753 -0.13326833  0.18118512  0.01713837 -0.04537050 -0.02778713 -0.07439957 -0.17269034  0.13429297 -0.03105634  0.20434169  0.01165604 -0.05167237 -0.06680291  0.08771920  0.13463383 -0.09033342 -0.11989378  0.06547961  0.10446483 -0.01761727 -0.20306028  0.02739909
  1921833  169     0.01861364 -0.05864610 -0.03192941 -0.03057567  0.14602924  0.13685820 -0.04700167 -0.12133471  0.16796502 -0.16390215  0.04779689 -0.01785686  0.00392113 -0.15788590 -0.09400261  0.10588355  0.09532464  0.05016849 -0.02660277 -0.05896710 -0.01932491 -0.09644577  0.11148968 -0.16382311  0.24258645 -0.17450801  0.16969765 -0.01111249  0.12977163  0.06487958  0.07387759 -0.22821935 -0.06575221  0.12132324  0.04617188  0.10199785 -0.01629503  0.08772030  0.00959725  0.06691319  0.02557482 -0.12880229  0.03208375  0.00909900  0.13315355  0.07207201  0.25964658  0.14387362 -0.02973444  0.05249629  0.25726412 -0.22080379  0.14710560 -0.11621381  0.20437075  0.28004910 -0.17881140  0.01547098 -0.08032938 -0.09950309 -0.04477219  0.01965108 -0.05225387 -0.26822663
  1923761  1928   -0.09210473  0.03479442  0.04763108  0.09513061 -0.07160381  0.00857796  0.03793803  0.05165680  0.15960789 -0.05396965  0.19767616  0.16454189  0.03134776  0.13420092  0.24506243 -0.05328826 -0.02132415  0.20795126  0.00157578  0.08883788  0.02023615 -0.04007563  0.17009938  0.00612130  0.18432267 -0.18196326  0.02405233  0.06244512  0.16675331  0.18055118  0.00716734 -0.00580318  0.23870217  0.14148548  0.03129182  0.00786984 -0.15308662  0.13283626  0.15204960 -0.09659039  0.08906541  0.08390953  0.02544167 -0.24030590  0.11070989 -0.03812128  0.00544479  0.05184544  0.03743667 -0.02730584 -0.01889671  0.22449961  0.10630167  0.06579735  0.05556940 -0.03336411  0.17057060  0.10651952  0.28397737  0.13764229  0.24696357  0.17972336  0.02359176 -0.17505788
  1925902  2141   -0.26525947 -0.12141878  0.10036443  0.12296646  0.09682777  0.01028027 -0.04236705  0.33477895 -0.06948350 -0.01476261  0.06531184  0.06224640  0.09824136  0.05184243  0.12488517 -0.14551985  0.02145121 -0.17044244 -0.06009525 -0.06215658  0.06022926 -0.02394938  0.09154025  0.04967251 -0.03847770 -0.21244048 -0.13418170  0.10790815 -0.12738462  0.01934938 -0.24348320 -0.01834406  0.04608230 -0.09953758 -0.00772004 -0.17709599 -0.03524301  0.01056393 -0.11184446  0.08339708 -0.09224369 -0.14784860  0.12856276 -0.01564393  0.02410422 -0.19101160  0.09173886 -0.30885718 -0.21130622 -0.02750312 -0.35761367 -0.06559265 -0.08435674 -0.03245123  0.14334614 -0.01555376  0.00941051 -0.12678786 -0.05025954  0.02930035  0.02039601 -0.13638805  0.04537226 -0.00810937
  1927067  1165   -0.08158377  0.04815399 -0.03223205 -0.07811394 -0.08242748  0.00436736 -0.26226492 -0.16663551 -0.03183406 -0.13846337 -0.05987314  0.05746601 -0.31467824  0.17067249  0.01810965  0.07945991  0.12358530  0.11206259  0.27337576  0.18131290 -0.03052695  0.04791095  0.19813430 -0.16254713 -0.00803439  0.08912753  0.07948662  0.10487608 -0.16151319 -0.07746520 -0.18404499  0.07061266 -0.00933065  0.10869072 -0.07304015 -0.01725394  0.01840003  0.18642120 -0.11753775 -0.00107217 -0.05419416  0.03325528  0.05594769 -0.22638739 -0.13448419 -0.13846889  0.04246448 -0.15712919  0.06930824  0.03421327  0.16996364  0.02163731 -0.02428335 -0.14083135  0.11206499 -0.06701883 -0.26615905 -0.11453299 -0.00358839  0.05372511  0.01645637 -0.04602912  0.23915915  0.10085671
  1928014  947    -0.12244540  0.15351732 -0.02494554  0.00976692 -0.04895664 -0.21292684 -0.09320155  0.02271279 -0.11255358 -0.00551097  0.06153140 -0.07774431  0.05515038 -0.14985434  0.16565521 -0.09403038 -0.03780950  0.12156779  0.02518760  0.10192117  0.31625360 -0.28516487  0.14187754 -0.19917427 -0.01372754 -0.08018460  0.10927641 -0.08613663  0.04836302  0.14878975  0.00855562  0.26090783 -0.00012839 -0.16455563  0.11290540  0.03591176  0.06792936 -0.02979736 -0.09856491 -0.03775725 -0.03843051  0.05965854  0.03338143  0.22973526  0.25569506  0.04547723  0.08748048  0.13438425  0.11947489  0.11697190 -0.02187145 -0.19834495  0.19827407 -0.06671584  0.13483339  0.01971280 -0.16219636  0.09236188 -0.14774738  0.12150189 -0.00225383  0.04427686 -0.00898596  0.13811068
  1928938  924     0.06788401 -0.06702984 -0.09425405 -0.16511015 -0.21260387 -0.07404645  0.08849141  0.10501476  0.23496643  0.00501415 -0.07642063 -0.00633628  0.12627574 -0.15383162  0.23175970  0.13707829 -0.10697840 -0.01903317 -0.08318711 -0.11853282  0.08455555 -0.18887633 -0.08472546 -0.05169163  0.13799885  0.12400709 -0.00171115  0.07279624  0.11312161  0.04415268  0.07650745 -0.00788037 -0.01916896  0.06273312 -0.07331044  0.22472958  0.02126863 -0.06850887 -0.02884471  0.02907673  0.11279651 -0.29012175 -0.16440871 -0.15666071 -0.01457764 -0.23152288  0.17785421 -0.08238302 -0.07979013 -0.11852570  0.15368345  0.05602089  0.01650176  0.19080281  0.26535897 -0.06115732 -0.19469713 -0.11507881 -0.00158550 -0.07664035 -0.13332578 -0.14611472  0.06544513 -0.00169993
  1932126  3188   -0.00158915  0.15127879  0.08223786 -0.03197821 -0.04877862 -0.02045432  0.05417772 -0.14745352 -0.16670324  0.14430313 -0.08140853 -0.08087143 -0.05613536  0.19368080  0.19729068  0.11789410  0.12534305 -0.06238331 -0.08144204  0.02511264 -0.06687151  0.02702110 -0.27694441  0.09506092 -0.03139097  0.12707942 -0.06991451  0.27345265 -0.03630587  0.03574676 -0.21603141  0.14841243  0.01258303 -0.14811781 -0.07476496 -0.10378440 -0.20526874 -0.21206675 -0.01794257  0.12607808 -0.02743191  0.02982306 -0.00098270  0.03237426 -0.07012536 -0.00849797  0.05047582  0.10447918 -0.04949211  0.00155435  0.10142434 -0.10415824  0.44782750 -0.05974833  0.17494985  0.00735178  0.14803618  0.01422890  0.12901697  0.00434161  0.03254617 -0.08748405  0.01122793 -0.17825263
  1934119  1993    0.22459506  0.06739813  0.05182877  0.01656442 -0.07749615 -0.22807234  0.04922840 -0.06644774 -0.13191469  0.18583149  0.15517888  0.13779309  0.08368206  0.18565507  0.08251101 -0.07838804  0.19456065  0.18658019  0.01568764  0.12199416  0.02735490 -0.25396820  0.12555394  0.19619177  0.17960921  0.17675932 -0.15479475 -0.15868504  0.00842291 -0.07025902 -0.19175481 -0.09026655 -0.07739837 -0.02657030  0.02726107 -0.13338269  0.18900130 -0.12972032  0.10570917 -0.08167109 -0.02976588  0.05386322 -0.06748851  0.03201037 -0.21905439 -0.06906342  0.05887397 -0.16539962  0.03765019  0.09064052  0.03791164  0.03222479 -0.18366200  0.09550701  0.03298427  0.02369880 -0.03383814 -0.04764394 -0.11902133  0.03284275 -0.01185087  0.03267494 -0.28905296 -0.09642941
  1936067  1948    0.03307199  0.09818709  0.00966615  0.09791475  0.07228175  0.17193306  0.04314475  0.03183705  0.16156089 -0.18116688 -0.10968700 -0.17152702  0.26395498  0.09657475  0.10163921  0.11795613 -0.02010741 -0.00264977 -0.22750631  0.04659372 -0.00374326 -0.13313964  0.11556662  0.12106937  0.08795529 -0.20567708  0.05474359 -0.22657230 -0.09899571 -0.09668567  0.04820952 -0.05101132  0.01223901 -0.02876075 -0.09605376 -0.21633492  0.15632282  0.00028025 -0.07864392  0.15890775  0.11139578  0.19127987  0.13205773 -0.17953812 -0.12050360  0.00736550  0.00663652 -0.07921670  0.24109661  0.06004605  0.15882256  0.01850687  0.19285670 -0.05940064 -0.02692360  0.12248605  0.09378638 -0.00026187 -0.08607931  0.04458520 -0.28130448 -0.09446550  0.16338638  0.02504485
  1937010  943    -0.00183009  0.18609382  0.02136789 -0.01954009 -0.03887184  0.14844887 -0.13774725  0.03713799 -0.12154158  0.14447066  0.11138451 -0.04077822  0.11801069  0.02628823  0.01855685  0.11858133 -0.04133647  0.18202214  0.21169424  0.11455878 -0.05064701  0.11601871  0.01817980  0.20262946 -0.21263292  0.03849907  0.03615274  0.05500092  0.10644660  0.16889630  0.07675333 -0.14740327  0.22271059 -0.03443304  0.04397465  0.03658350  0.07403156 -0.13400938  0.15530653 -0.24781653  0.12565853 -0.35991765  0.05237055  0.05590438 -0.11369893  0.07894803  0.01778268 -0.11128417  0.11931004  0.06562728 -0.19029300  0.01897927  0.14238248  0.03329979 -0.08849994 -0.06920908  0.01756528 -0.01708997 -0.00676050  0.06674131 -0.21782838 -0.11758789  0.17937903  0.19857507
  1939349  2339    0.10415587  0.06988812  0.05660658 -0.22890983  0.07876033  0.18337021  0.15128055  0.04457336 -0.05416442  0.02026123  0.02258828  0.30132533 -0.03494823  0.05883652  0.02608315  0.00098931 -0.23303124 -0.29868570 -0.00769293  0.00142742 -0.03040241 -0.02600009  0.05351302 -0.05864246 -0.02719400  0.03589343  0.04451282 -0.02647818  0.10467061 -0.09202073 -0.16753239 -0.04868136 -0.10175160 -0.15241058  0.03355165 -0.21215162  0.06374229  0.04027096  0.00915880  0.08519161  0.12741600 -0.17626694 -0.01192943  0.02046743  0.11157038  0.23542001  0.26922887 -0.14199114  0.07662200  0.22416359  0.19403640  0.01026928 -0.02713634  0.05397655  0.03423053 -0.05259470 -0.04154450  0.20334576  0.14621500  0.00699732  0.16521062  0.15136208  0.07474949  0.18711123
  1942581  3232    0.01870453  0.03165032  0.10710334  0.02962623 -0.14666550 -0.07362819 -0.11435110 -0.12176938 -0.01789383 -0.08557964 -0.11702765 -0.04321615  0.05830596  0.11229063  0.14091217 -0.06762786 -0.14439714  0.04988290 -0.00756837 -0.09359407  0.01939290  0.15047530 -0.10670385 -0.18731779 -0.09258027  0.03987180  0.22906236 -0.15674975  0.31808655 -0.07965098 -0.11800659 -0.13692930  0.04137919  0.17062380 -0.10603245 -0.18485975 -0.17816651  0.01004072 -0.11919931  0.04595403  0.14874300 -0.16137877  0.19783151  0.03043688 -0.02314185 -0.08213456 -0.36358794 -0.10762289 -0.01181029  0.06812678 -0.04501370 -0.13596804 -0.05299911  0.05635984  0.15997764  0.15221701 -0.02705274  0.07685898 -0.04166683 -0.02876511 -0.05671498  0.10593601 -0.26534512  0.03131922
  1943300  719    -0.07284237 -0.02775570 -0.01319856  0.06707659  0.20186197 -0.03837034 -0.04207590  0.11932224 -0.11728069  0.06786507 -0.10133755  0.00776200  0.00718743  0.18509017 -0.02753919 -0.30930803  0.01196716 -0.01548118  0.12237399 -0.02577919  0.14010859 -0.00408221  0.17126396 -0.02674339 -0.00199655  0.04391184 -0.19974406 -0.03504979 -0.00431540 -0.17371657  0.06815903 -0.15869601 -0.22813990  0.19107256 -0.14669930  0.26969912 -0.12159900 -0.03927500 -0.09062116 -0.03226254  0.26417550 -0.05162843  0.11845429  0.06711109  0.08259969 -0.05901536  0.01290720  0.03605092 -0.12197969  0.17034372  0.17500201  0.13996901  0.29648625  0.08055607 -0.13983828 -0.17642851 -0.00346893  0.12991999 -0.04289929  0.02053276 -0.10341255 -0.10387283 -0.00404148 -0.10858665
  1943573  273     0.13738964  0.08117454  0.06761434 -0.11767061  0.14320996  0.08371681 -0.21598090  0.14906121 -0.04407415 -0.10740306  0.01638350  0.20557916 -0.01898445  0.08423604 -0.04406155 -0.02452218 -0.19245171  0.06908504  0.05153969  0.02591581 -0.09961325 -0.12574243  0.12952792  0.09903094  0.04461483  0.03048382 -0.02207255  0.13591204  0.02445480  0.04402197  0.11379918 -0.05679909 -0.02107816 -0.05998317 -0.07299654  0.08872664 -0.05507030 -0.01161157 -0.13920874  0.15708042 -0.17690441  0.09973489 -0.26103979  0.18159452 -0.02258872 -0.24243750 -0.12745892  0.00447299 -0.01762209 -0.15475058 -0.00411827  0.06685089  0.10576693 -0.01314563 -0.00802236  0.38639128  0.01235638  0.10772857  0.23512904  0.07008302 -0.08548956 -0.10479003 -0.16099682  0.26013078
  1945189  1616   -0.05931417  0.04257654 -0.08718112 -0.17218790 -0.20606348 -0.04778481  0.19705442  0.17445372 -0.17310143 -0.14148305 -0.01246594 -0.12951740  0.05379573  0.16497190  0.07244576  0.03814255 -0.01478168 -0.06996558 -0.10077797  0.01074155  0.10000671 -0.05047996 -0.00508896  0.14102451  0.02189699  0.13631902 -0.07569180  0.12292656  0.18894330  0.04108221 -0.04525679 -0.16462558 -0.02750525 -0.01643572 -0.09475188  0.11626357  0.09327243  0.13788141 -0.01947651 -0.02453439  0.01072605  0.18084185  0.10551755  0.05533132  0.06287310  0.00558763 -0.19460159 -0.12169601 -0.02527983 -0.22993654  0.09860644 -0.24281438  0.02155885 -0.05030617 -0.30008695 -0.16643136  0.00036083 -0.25624419  0.04779981  0.15832360  0.13567208  0.16707519  0.07251796  0.20487353
  1947315  2126   -0.07310742  0.09398302 -0.00106553  0.17864329  0.03708318  0.00932449 -0.00206103  0.09347498 -0.03743141  0.06155486 -0.01049523 -0.12258438 -0.05192969 -0.02165388 -0.02322954  0.06082375 -0.09616720  0.13503826  0.07755395 -0.03469156 -0.12312950  0.08559524 -0.04190155 -0.12639813  0.24619144 -0.07506717 -0.28677755  0.06462833  0.35587752  0.02185076 -0.02338590 -0.01023152 -0.15604978 -0.15921542 -0.16649079  0.01220399 -0.23860187  0.26596585  0.03497220  0.07135372 -0.00890469  0.01592873 -0.21678855 -0.06026572 -0.15212411  0.04947029  0.17844747  0.05586410  0.16288593  0.24937655 -0.09511156 -0.20628388 -0.06898113  0.10296240 -0.10383892  0.15428459 -0.04479310 -0.12354078 -0.13875358 -0.01032073 -0.03366005  0.01261464  0.09178657 -0.03051646
  1948424  1109   -0.24185529  0.05620748  0.09656155  0.13188732  0.04071891  0.12155524  0.02445889 -0.19363405  0.14483351 -0.01278237 -0.05642091  0.16645294  0.13866804 -0.09458012 -0.20764472 -0.09295827 -0.00467494  0.07019255  0.00961893 -0.08448600  0.16403638 -0.12883049 -0.09106584  0.09328623  0.11195804  0.21231353 -0.05073843  0.07405736 -0.01605781  0.15307970  0.05218971 -0.23735775 -0.00670447 -0.01379133 -0.07574418  0.02357494  0.00642533 -0.08139667 -0.28987088 -0.06793617  0.15077335  0.13654961 -0.13507287  0.14931156 -0.14024418  0.10424967 -0.13718206 -0.13701082  0.17667826  0.04672831 -0.07412083 -0.01003608 -0.01552865 -0.13148013  0.27376181 -0.08983606  0.01100521 -0.01793082  0.01661672 -0.12938637  0.25274957  0.00798198  0.17665493 -0.00257377
  1953753  5329   -0.12373546 -0.01419954  0.06228970 -0.30486913 -0.03556236 -0.07840611 -0.03769511 -0.02587255  0.08957446 -0.10534933 -0.09255180  0.03015197  0.00891263  0.11330240 -0.06078901 -0.09225850  0.30367472 -0.14962108  0.03659179  0.20582921  0.13653999  0.09543068  0.06871718  0.09338151  0.07206786 -0.09851214 -0.08885804 -0.03578223  0.11098248  0.14796285  0.17449232  0.03211657 -0.22136801  0.04756659  0.19746759 -0.07705960  0.08167544 -0.08146453  0.08378504  0.20353344 -0.09938724 -0.21117917  0.02446097  0.00260320 -0.02165117 -0.15084194 -0.14145795  0.07840892  0.18459657  0.09307082 -0.11064133 -0.07480244  0.07838484  0.18180873 -0.04627613  0.10103743  0.01434331 -0.04769013  0.08955843 -0.32400853  0.03261538  0.14072411  0.14373086 -0.06025996
