# Shadow tomography log started 2019-12-30 18:49:40
# Dimension = 4
# True state = (-0.10347576  0.40046587  0.27090373 -0.62819040 -0.17220832  0.44102396 -0.00859407 -0.36969738)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3
  3783490  80591  -0.52918657  0.10449886  0.17180758  0.13336220  0.61473686 -0.25181734 -0.21883475 -0.41537478
  3802904  19414   0.56905893 -0.48606914 -0.33164518 -0.02833648  0.19281477 -0.09878820 -0.19662496  0.49347668
  3858008  55104  -0.49348429  0.10105727 -0.46930908 -0.60924165 -0.03510614 -0.28051808 -0.18430237  0.20234646
  3959471  101463  0.10159597 -0.13034041 -0.00957193 -0.42654119 -0.44547649  0.66904235  0.34135589  0.16754048
  3967188  7717    0.00511336 -0.39853846 -0.31812480  0.12062223 -0.47559803  0.02966596 -0.40794648 -0.57610238
  4012752  45564   0.48493036 -0.31130329 -0.52770420 -0.00401392 -0.60007410  0.10451718  0.02994452  0.13242182
  4019961  7209   -0.19976953  0.69659698 -0.10502150 -0.07770823 -0.27591290  0.56512248  0.09672815  0.23006306
  4097028  77067  -0.09321150  0.01063570 -0.33984109 -0.26533367  0.09228065  0.26109597 -0.53882337 -0.66203258
  4148198  51170  -0.23502218 -0.28060767 -0.35121025 -0.62865056  0.38152569  0.10605284  0.21826145  0.37818862
  4186550  38352  -0.26699395  0.30673049 -0.26178017  0.03121126 -0.26901242  0.82670833  0.07948131 -0.05473590
  4259359  72809  -0.34968050  0.34671688  0.25934556 -0.71946250  0.21432316 -0.03968750 -0.32835348 -0.13152576
  4261904  2545   -0.41174012 -0.49351108 -0.21516245  0.07199988  0.26864804  0.14239529 -0.44899384  0.49131900
  4336830  74926   0.42206194  0.03036763  0.50595264 -0.19530402 -0.15269706  0.28444959  0.01578236  0.64987133
  4341822  4992   -0.40355707 -0.63468627 -0.43563591 -0.34707072 -0.20501551 -0.02147959  0.18515464  0.21749328
  4459021  117199 -0.07580168 -0.31651354  0.24812899 -0.01700550  0.68667409  0.52462182  0.26583417 -0.12165087
  4473147  14126  -0.51362966 -0.08693910  0.51990639  0.15819098 -0.04220256  0.03309928 -0.47374755  0.45385655
  4519829  46682   0.19299570  0.14059563 -0.57330621  0.06244230  0.43585827  0.13382398 -0.40488571  0.48845957
  4640507  120678 -0.38581057 -0.09623162  0.24902781 -0.41601730  0.63771127 -0.03651194  0.41476706 -0.16359686
  4646110  5603    0.29747674 -0.41074240 -0.11818251 -0.64126760  0.06711507 -0.15131327 -0.34373653  0.41479161
  4700926  54816   0.00641621 -0.23686463 -0.36118111 -0.26289795 -0.11365000  0.61035711 -0.10029475 -0.59057234
  4704249  3323   -0.13355290  0.71463665 -0.13343751 -0.34978682 -0.02991537  0.42218955  0.00784096  0.39000162
  4748232  43983  -0.39436492 -0.24408991 -0.46524764  0.22787848 -0.26428036 -0.06324659 -0.53525663 -0.39518167
  4827841  79609  -0.07745166  0.17897295  0.09189275  0.24766399  0.40423707  0.61845083  0.14871576 -0.56937051
  4859906  32065   0.04544464  0.25349914  0.19690482  0.60435442 -0.18520276 -0.56070356  0.30991127 -0.29141663
  4892825  32919   0.40758559  0.71722612 -0.47157944 -0.18823217 -0.17484126  0.03176017 -0.13223228 -0.11215440
  4998480  105655  0.34408291  0.04672774  0.74769899 -0.05836097 -0.49959457  0.10860156  0.23574160  0.00074203
  5007828  9348   -0.72749192  0.36244880 -0.08010012 -0.15951526 -0.40322766  0.06494075  0.32070625 -0.19458386
  5039759  31931   0.35307677 -0.00045863 -0.29934141 -0.27940200 -0.25913233 -0.64631580  0.11501717 -0.45778073
  5071234  31475  -0.20017451  0.23254374  0.29617370 -0.38767184 -0.04454503 -0.29145013 -0.74983452  0.13662361
  5102476  31242  -0.07145771  0.08907985 -0.62243317  0.36998033  0.38862583 -0.20386689  0.26630574  0.44625060
  5139763  37287   0.63009788  0.16923987 -0.39328787 -0.10678831 -0.59154184  0.12488404  0.19736586  0.06151734
  5179924  40161  -0.25140901  0.65597589 -0.10392361  0.06915594  0.12540787  0.52987316  0.22858234 -0.37704627
  5257573  77649  -0.06349045 -0.25249002 -0.40407277 -0.36160054  0.13500439 -0.35661127  0.25277201 -0.65490192
  5292885  35312   0.19254288 -0.62876312  0.15418595  0.28384944 -0.19043816 -0.10023820 -0.63680283  0.10680892
  5324010  31125   0.11461270 -0.10400689 -0.11356875  0.13605658  0.80738236  0.50118213 -0.12249888  0.16303825
  5407754  83744  -0.28626486  0.29526316 -0.62831761  0.55298718 -0.11953581 -0.10497861 -0.18708929  0.26454212
  5430777  23023  -0.49038968 -0.36608843  0.04042604  0.40253550  0.02545002  0.15709485  0.26884403 -0.60351017
  5491629  60852  -0.43582888  0.18440809 -0.48634427 -0.47177810 -0.13599294  0.39583854 -0.15860043 -0.34147503
  5508064  16435  -0.65528661  0.31888096 -0.12009122  0.12498963  0.02930798 -0.51765704  0.33593549  0.23914360
  5548308  40244   0.16349088 -0.37486329 -0.49256163  0.19098904 -0.00589377 -0.47127966  0.10491606 -0.56613412
  5616517  68209   0.00425678  0.27873171  0.34748294 -0.33318493  0.36327548 -0.44931245 -0.50354770 -0.32112753
  5702093  85576  -0.19341114 -0.15249649  0.27116192 -0.05754953  0.68607122 -0.36443927 -0.14115809 -0.48893856
  5763242  61149  -0.11167157 -0.07552657 -0.37206818 -0.52395399 -0.20570360  0.37543505 -0.20352374 -0.58666457
